t.statistic	t.pvalue	Wilcoxon.statistic	Wilcoxon.pvalue	Gene
619208	-3.30125875780066	0.00672723452247579	36	0.00342788141649622	FAM229B
729737	-4.10746916654187	0.000251036460604019	30	0.0012932627798819	LOC729737
100288069	0.305899464973747	0.763909674043673	122	0.602702943853242	LOC100288069
79854	-2.62210390957916	0.0138373346550588	58	0.0504848354550638	LINC00115
643837	3.80178863318819	0.0025772470096466	181	0.002939604398742	LINC01128
55858	-2.45993197471817	0.0280280513549258	49	0.0193323198426908	TMEM165
55857	1.12766599419631	0.271427881974861	130	0.405799500506037	KIZ
84287	-3.66280121266124	0.000957592468362031	46	0.0134927952372171	ZDHHC16
1911	-11.895375866722	5.02434789098398e-13	0	8.49768565531178e-08	PHC1
6007	-1.66470190839043	0.111486979738367	63	0.0803276877542401	RHD
4817	-9.50483302680591	5.823721343855e-11	0	8.49768565531178e-08	NIT1
7162	4.70123532665931	0.00190066348868496	210	2.54930569659353e-06	TPBG
10858	3.14235770360614	0.00758106424962012	165	0.0242874903020162	CYP46A1
100287428	3.42399727718645	0.00283344012390307	171	0.0119098463533457	PNMA6A
118424	-7.4313814793384	2.20609785134027e-08	5	1.61456027450924e-06	UBE2J2
6339	-3.21378621105122	0.00293032861742191	49	0.0193323198426908	SCNN1D
126789	-6.51877507317993	2.22249652552822e-07	8	5.69344938905889e-06	PUSL1
60386	-2.60286795250072	0.0139230840447118	55	0.0373488580385132	SLC25A19
54973	-7.53974040565063	1.32338339296929e-08	2	3.39907426212471e-07	INTS11
90557	-3.37435641228788	0.00199487562004594	41	0.00704517624624933	CCDC74A
55168	-7.16460424597204	7.04826352505672e-08	6	2.54930569659353e-06	MRPS18A
148413	-3.86823990605858	0.0011735251134499	33	0.00214014213229027	MRPL20-AS1
57599	-0.810157150083238	0.423654044471803	93	0.576002705663113	WDR48
4939	-2.00091858201756	0.0558699940721808	13	2.94869692239319e-05	OAS2
142678	-1.44637048534987	0.157784247882381	95	0.629920266215496	MIB2
345895	-1.62896005640604	0.122622576436945	56	0.0413778657382662	RSPH4A
9130	-6.26040227322401	6.08756539049986e-07	9	8.15777822909931e-06	FAM50A
10888	-0.642467618916418	0.525615089007033	129	0.420604780884907	GPR83
22808	-1.19489673443999	0.241171138169857	99	0.743381025177793	MRAS
51053	-3.25223758983358	0.00313514782195182	42	0.00806634313144815	GMNN
27143	-7.8659583606559	2.01365077109967e-08	0	8.49768565531178e-08	PALD1
9024	5.6272042946768	2.93882088610967e-06	188	0.000905768313999682	BRSK2
196743	-2.88939368526057	0.00972332528784717	42	0.00806634313144815	PAOX
83546	0.685530316452817	0.498058775296277	124	0.539162658062135	RTBDN
199990	-5.74803505549721	2.12622224050886e-06	8	5.69344938905889e-06	FAAP20
1432	0.584949506672136	0.569584923354924	127	0.474950352271559	MAPK14
100129534	2.22969075033158	0.0352232395876427	147	0.13241212755706	LOC100129534
25875	-2.86948053944851	0.00729660522117168	63	0.0803276877542401	LETMD1
55188	-3.23890909620491	0.00317645464801767	42	0.00806634313144815	RIC8B
