t.statistic	t.pvalue	Wilcoxon.statistic	Wilcoxon.pvalue	Gene
619208	-3.15107461665011	0.011173328403526	36	0.00342788141649622	FAM229B
729737	-3.60908375981829	0.00397233789525537	30	0.0012932627798819	LOC729737
100288069	0.672869485632385	0.510472500880071	122	0.602702943853242	LOC100288069
79854	-2.36603572323776	0.0360231571882344	58	0.0504848354550638	LINC00115
643837	4.55131689323088	0.000154793261450052	181	0.002939604398742	LINC01128
55858	-2.38082671476888	0.0365695227120639	49	0.0193323198426908	TMEM165
55857	1.58508545114013	0.124967516684464	130	0.405799500506037	KIZ
84287	-3.40251261116233	0.00218499248519017	46	0.0134927952372171	ZDHHC16
1911	-11.579443371411	3.59991212262843e-08	0	8.49768565531178e-08	PHC1
6007	-1.73781272841013	0.110266865530305	63	0.0803276877542401	RHD
4817	-10.1184293391089	7.64733975523543e-10	0	8.49768565531178e-08	NIT1
7162	6.85480427829905	7.77382110432729e-07	210	2.54930569659353e-06	TPBG
10858	4.24645504595414	0.00019775493115391	165	0.0242874903020162	CYP46A1
100287428	4.19957377063291	0.000192103453555224	171	0.0119098463533457	PNMA6A
118424	-7.43633926311854	9.81748009351861e-08	5	1.61456027450924e-06	UBE2J2
6339	-2.74260276601106	0.0111545069267697	49	0.0193323198426908	SCNN1D
126789	-7.08947464736538	9.08721055350285e-08	8	5.69344938905889e-06	PUSL1
60386	-2.18576784910557	0.0408635648923469	55	0.0373488580385132	SLC25A19
54973	-8.83603365852804	9.33017217610824e-10	2	3.39907426212471e-07	INTS11
90557	-3.57790930853883	0.00125347986543697	41	0.00704517624624933	CCDC74A
55168	-7.03836847187937	8.93260166981316e-07	6	2.54930569659353e-06	MRPS18A
148413	-3.56362186156511	0.00311101293146491	33	0.00214014213229027	MRPL20-AS1
57599	-0.413638778713419	0.681816820533884	93	0.576002705663113	WDR48
4939	-5.04807867794684	1.7961238752229e-05	13	2.94869692239319e-05	OAS2
142678	-0.933789013486087	0.357197545258658	95	0.629920266215496	MIB2
345895	-1.82356435706136	0.0905899247145889	56	0.0413778657382662	RSPH4A
9130	-7.21537806432235	9.23639049009443e-08	9	8.15777822909931e-06	FAM50A
10888	3.09807710849193	0.00436029518362238	129	0.420604780884907	GPR83
22808	-0.584820537906097	0.562935718366151	99	0.743381025177793	MRAS
51053	-3.08221295544402	0.00854029424259691	42	0.00806634313144815	GMNN
27143	-14.5314157113105	1.62155074634421e-15	0	8.49768565531178e-08	PALD1
9024	5.39426850675689	1.00492156927013e-05	188	0.000905768313999682	BRSK2
196743	-3.02259046272339	0.0123749133173099	42	0.00806634313144815	PAOX
83546	3.79123672577422	0.000754431168588286	124	0.539162658062135	RTBDN
199990	-6.74346841030577	7.11442272104385e-07	8	5.69344938905889e-06	FAAP20
1432	0.657624674062528	0.522748087268046	127	0.474950352271559	MAPK14
100129534	2.86632501810651	0.00752756353515719	147	0.13241212755706	LOC100129534
25875	-2.73008196696191	0.0112314086259718	63	0.0803276877542401	LETMD1
55188	-3.89786436229471	0.000523563574663669	42	0.00806634313144815	RIC8B
406	3.9272698911894	0.000891855889034048	177	0.00532923858187223	ARNTL
9651	4.78011599320304	4.76695847225044e-05	171	0.0119098463533457	PLCH2
100133445	-5.3310885899677	7.17765133350794e-06	23	0.000342116824482852	TNFRSF14-AS1
4345	4.20062211192059	0.000193801768298247	164	0.0271331952742671	CD200
55329	-7.76289452330894	1.34565985682446e-07	0	8.49768565531178e-08	MNS1
51400	4.06900091058294	0.000466341763133807	178	0.00461483814883017	PPME1
2898	2.91404687726991	0.00684482983645548	125	0.524279417500644	GRIK2
54965	-0.606537711220468	0.549255048495768	103	0.862469971303316	PIGX
57113	0.896513540329751	0.383124169429537	129	0.413347386087811	TRPC7
8515	-3.13915608879008	0.00643742791110552	45	0.0119098463533457	ITGA10
1677	-3.30787677657146	0.00385847269454109	40	0.0061367736496965	DFFB
5108	1.64590893462179	0.111556601282059	129	0.428180789961854	PCM1
84190	-3.09407298483548	0.0133574639942012	42	0.00806634313144815	METTL25
57795	2.74528499923146	0.0103519044145215	130	0.405799500506037	BRINP2
79022	-6.71063293291924	1.30225920526941e-07	8	5.69344938905889e-06	TMEM106C
57509	0.473954546820092	0.645157529622354	104	0.892831522334892	MTUS1
57449	1.72876405208503	0.0932009835670022	149	0.112838303488045	PLEKHG5
10221	-1.84338885121125	0.0888425030818201	78	0.252032264012896	TRIB1
121551	2.50033167795368	0.0176073973005675	131	0.384100405254629	BTBD11
90326	-6.17612157566697	1.73579225286004e-06	17	8.71012779669457e-05	THAP3
8737	-9.71168922221906	1.68575149492114e-07	0	8.49768565531178e-08	RIPK1
493861	3.67822637868894	0.00100613927552484	166	0.0216937417094454	EID3
10217	-1.64233617919199	0.126016322571683	66	0.103911144799714	CTDSPL
493856	1.16186512333539	0.259630052923361	128	0.45123858017269	CISD2
29114	5.18145498152643	1.77539904896244e-05	195	0.000222979271595381	TAGLN3
23261	6.52169377853313	2.29014558602872e-07	206	1.1556852491224e-05	CAMTA1
908	-4.49235650780247	8.16317453646163e-05	37	0.00398329015092739	CCT6A
7110	-0.100503440987239	0.921550272371997	106	0.953962343355787	TMF1
9885	1.85242190188881	0.074484538180643	133	0.342802927622662	OSBPL2
3633	-4.68925224041531	0.000792764956978727	19	0.000141486466160941	INPP5B
5763	-8.67145574445856	6.05173430743116e-10	0	8.49768565531178e-08	PTMS
23327	-1.67549305075295	0.103876526306537	79	0.268754349752845	NEDD4L
8394	-6.46698529705254	2.4578633736183e-07	27	0.00075280997220407	PIP5K1A
151112	3.04267785825742	0.00539238440187143	158	0.0491360556050985	ZSWIM2
1176	1.85969442994576	0.0719198458624463	133	0.342802927622662	AP3S1
4897	1.62902263353493	0.11523261913131	128	0.45123858017269	NRCAM
100526833	4.7041961050185	5.62394485110556e-05	157	0.055602821571545	GP1BB
5066	-6.65868500290561	2.48372244356806e-07	9	8.15777822909931e-06	PAM
11243	-6.36949560061308	9.14561670466784e-05	6	2.54930569659353e-06	PMF1
25953	5.26532410522053	0.000195962800601774	204	2.19240289907044e-05	PNKD
90355	4.50359691467202	0.000118560879522019	143	0.178917496819741	C5orf30
84689	-8.01211597062587	3.39968345473641e-08	2	3.39907426212471e-07	MS4A14
115752	-5.90963676757844	1.25972665947159e-06	32	0.00181646528567944	DIS3L
378708	-4.96337193261355	9.59601749538717e-05	22	0.00027719450607627	CENPS
100526739	-1.85090017168604	0.100673984666131	54	0.0336455666299283	CENPS-CORT
963	-9.16166664649299	1.0879757439398e-07	1	1.69953713106236e-07	CD53
118738	4.35496828291422	0.00015406905764917	177	0.00532923858187223	ZNF488
154881	-3.52803430417071	0.00268938118420543	39	0.00532923858187223	KCTD7
3298	-4.13850188075496	0.000718028303706142	33	0.00214014213229027	HSF2
55898	-12.8652270676255	2.28533134229542e-14	0	8.49768565531178e-08	UNC45A
4665	-2.15458577948034	0.0462011701859547	65	0.095528517808175	NAB2
57531	4.59018638971852	0.000333133409637075	197	0.000141486466160941	HACE1
89887	-1.53238954119756	0.154819109458126	74	0.192169127738061	ZNF628
88745	-5.8340882302286	1.75283540169341e-06	17	8.71012779669457e-05	RRP36
93611	3.44950573242677	0.00171061168502786	136	0.286193895092672	FBXO44
26047	4.75541195146783	4.57856710856033e-05	185	0.00153544682105828	CNTNAP2
10367	-1.68879709250969	0.114754551599773	65	0.095528517808175	MICU1
9639	-1.5160889743854	0.145130831805805	58	0.0504848354550638	ARHGEF10
64072	-3.18616453013879	0.00784132816405601	40	0.0061367736496965	CDH23
1185	1.45508065390788	0.165619288770977	142	0.192169127738061	CLCN6
11069	5.27913029354101	1.20906980209649e-05	170	0.0134927952372171	RAPGEF4
6608	-5.41855434861879	0.000450649343471378	10	1.1556852491224e-05	SMO
677882	0.424509118301028	0.676395031756956	113	0.85934220718695	SNORA59B
100130539	-2.72897988551175	0.0101090556786204	79	0.268754349752845	C10orf142
3077	-8.66474637023564	3.04039537086599e-08	1	1.69953713106236e-07	HFE
1933	-4.74453843191076	0.000139534017497637	26	0.000623050312247459	EEF1B2
55466	3.29382898849191	0.00239268487055661	152	0.0876756365403882	DNAJA4
1738	-1.99985399631573	0.0572808201698199	69	0.13241212755706	DLD
56886	-4.76713993995247	0.000122144617362164	25	0.000512835329298066	UGGT1
200197	0.51090621022315	0.613369017165556	99	0.743381025177793	TMEM51-AS1
7398	-0.837353758885441	0.40889903562527	69	0.13241212755706	USP1
3945	-1.4594040467735	0.153957108867727	69	0.13241212755706	LDHB
160418	-0.999735982388306	0.332604087102158	91	0.524279417500644	TMTC3
8883	-6.35033810005582	6.57925654383465e-06	13	2.94869692239319e-05	NAE1
2922	-5.03348583058098	1.71171945650675e-05	21	0.000222979271595381	GRP
55024	-5.40539666807623	5.57576659638018e-06	25	0.000512835329298066	BANK1
729614	-1.53557019070804	0.154158805655239	65	0.095528517808175	FLJ37453
10000	3.33300765145591	0.00534685373135064	177	0.00532923858187223	AKT3
8148	-4.28159086308611	0.000222926341554535	38	0.00461483814883017	TAF15
84525	5.03833858194632	1.6480674726883e-05	185	0.00153544682105828	HOPX
646960	3.12597744182837	0.00368731724000396	160	0.04255126957849	PRSS56
1188	-2.42169635008994	0.0242835827415731	60	0.0611270820392066	CLCNKB
6397	-1.04290909073526	0.316466302012287	81	0.304346566212692	SEC14L1
127687	-3.01695805653418	0.0090819347695734	53	0.030245472645525	C1orf122
123904	-1.32454807220742	0.214426418910626	75	0.20609403029085	NRN1L
55707	-7.85259089688403	8.98829897005236e-06	2	3.39907426212471e-07	NECAP2
114819	-3.66896857344553	0.00249950275471668	35	0.002939604398742	CROCCP3
11209	-4.97368065774399	0.00029753683449865	21	0.000222979271595381	MST1P2
5178	5.03068884939935	1.78597383385307e-05	185	0.00153544682105828	ZIM2
8825	2.06391599250452	0.0582189713960872	155	0.06707410236822	LIN7A
79659	-6.84178543071891	6.68759779153162e-06	6	2.54930569659353e-06	DYNC2H1
8653	-1.65223739265736	0.125092732920374	59	0.055602821571545	DDX3Y
253725	-9.24384945508317	1.14062849403925e-09	1	1.69953713106236e-07	WASHC2C
90313	-7.58907091689087	3.92957717578842e-06	2	3.39907426212471e-07	TP53I13
219844	3.02753986302612	0.00483533617553971	139	0.2360169307889	HYLS1
23710	4.45349954540763	0.000151708660948299	187	0.00108438966647434	GABARAPL1
1235	0.901359708418275	0.37724276814702	134	0.323219076284574	CCR6
9987	-2.29644127890823	0.0285529847180074	72	0.166332509341081	HNRNPDL
3184	-8.73885266405951	4.69737253261274e-10	15	5.17509056408487e-05	HNRNPD
3183	-10.3481348413201	1.4156926768218e-10	0	8.49768565531178e-08	HNRNPC
55160	-10.2785684391792	2.89536946132594e-11	0	8.49768565531178e-08	ARHGEF10L
84699	9.71780621160888	4.52192126239413e-11	212	4.12315960578319e-05	CREB3L3
27342	-1.65550727759357	0.114385157958445	73	0.178917496819741	RABGEF1
55722	3.74588616631859	0.000696274900568927	147	0.13241212755706	CEP72
55172	-3.67008362042743	0.00125763256135934	46	0.0134927952372171	DNAAF2
22905	-0.151497159266053	0.882282183383665	104	0.892831522334892	EPN2
8029	-9.73912316296738	1.00452847830719e-09	5	1.61456027450924e-06	CUBN
1496	1.55457908792998	0.130347186359365	127	0.474950352271559	CTNNA2
9371	-0.216984074987489	0.831404519048012	104	0.892831522334892	KIF3B
2796	-3.76355131302658	0.00253016164351352	31	0.00153544682105828	GNRH1
100506730	-2.91442579722346	0.0122636045304296	47	0.0152471424407563	LOC100506730
440574	4.17291721681878	0.000225120630210058	175	0.00704517624624933	MICOS10
114548	-6.63040274636319	1.70043040542421e-06	7	3.8239585448903e-06	NLRP3
644068	-4.79671633916254	0.000108698605070396	25	0.000512835329298066	RPS14P3
23090	0.841101615782155	0.408105196810297	111	0.923340508212588	ZNF423
91689	-5.38925761464996	2.6007754518213e-05	17	8.71012779669457e-05	SMDT1
1308	2.24150955895345	0.0436475290812517	160	0.0413778657382662	COL17A1
929	-8.17286775351382	8.92155947254972e-07	5	1.61456027450924e-06	CD14
286223	-5.04376367568358	3.2392104894847e-05	22	0.00027719450607627	C9orf47
339505	-0.601709431149096	0.551501608806503	82	0.316437896123423	LINC01141
6611	-2.04394099228717	0.0491564381714556	76	0.220708859941995	SMS
3192	-3.88146361452602	0.00163367714424301	25	0.000512835329298066	HNRNPU
57466	-4.98015642516337	0.000134884305621957	17	8.71012779669457e-05	SCAF4
54207	2.4776284134531	0.018631212314926	136	0.286193895092672	KCNK10
5532	4.25184826149965	0.000269779118203549	178	0.00461483814883017	PPP3CB
51029	-7.72438176918018	9.91344042558213e-09	0	8.49768565531178e-08	DESI2
51375	-8.94407167728474	6.09590846932431e-10	2	3.39907426212471e-07	SNX7
51083	1.52684577734582	0.139526466947033	132	0.354738014054754	GAL
128346	-8.07459575013252	3.16443854576159e-07	3	5.94837995871824e-07	C1orf162
9737	3.63451121919569	0.00146654399776165	169	0.0152471424407563	GPRASP1
100505876	-1.38973387636551	0.186139699203299	81	0.304346566212692	CEBPZOS
7265	-2.71674044184831	0.016712524900869	52	0.0271331952742671	TTC1
23593	-7.84127907607457	7.93691539076582e-07	4	1.01972227863741e-06	HEBP2
10590	-2.86315141805683	0.00800665973620625	56	0.0430470948573717	SCGN
1241	-6.0861420093031	1.68480865755543e-05	12	2.19240289907044e-05	LTB4R
84516	2.21712452261253	0.0516038793724257	161	0.0373488580385132	DCTN5
5930	-3.43299700650711	0.00445016613623665	34	0.0025129356019888	RBBP6
8736	-6.64877388638731	4.25832093013738e-05	5	1.61456027450924e-06	MYOM1
178	-5.16471209905588	2.52209723042916e-05	14	3.93442845840935e-05	AGL
9923	-2.70274138425084	0.0143853466588165	55	0.0373488580385132	ZBTB40
2617	-0.267666033791628	0.793496899381238	108	1	GARS
60680	4.33482019867656	0.000182861807242664	137	0.268754349752845	CELF5
60678	-9.61738556944927	8.57141172243458e-09	0	8.49768565531178e-08	EEFSEC
30813	0.0431495688834565	0.965886346597864	101	0.802374253372094	VSX1
60673	0.418098511511636	0.682242842525124	122	0.602702943853242	ATG101
2972	-0.489286378343591	0.628427592818812	74	0.192169127738061	BRF1
148898	-4.35539752546385	0.000377491132353089	27	0.00075280997220407	ZNF436-AS1
92140	-4.11146918094833	0.000246728866131722	43	0.00920911189837448	MTDH
100506963	-2.95281023177211	0.00818213625695335	52	0.0271331952742671	ELOA-AS1
55140	-0.497409914614527	0.625128726651438	99	0.743381025177793	ELP3
11313	-3.93006075640392	0.000631175767208741	36	0.00342788141649622	LYPLA2
153020	0.493916395537825	0.624793444510236	99	0.743381025177793	RASGEF1B
51374	-9.47272947985893	2.5956085556119e-10	0	8.49768565531178e-08	ATRAID
