UCSC_RefGene_Name	probe_id	pt_113N	pt_113T	pt_116N	pt_116T	pt_119N	pt_119T	pt_122N	pt_122T	pt_125N	pt_125T	pt_129N	pt_129T	pt_133N	pt_133T	pt_134N	pt_134T	pt_135N	pt_135T	pt_137N	pt_137T	pt_138N	pt_138T	pt_140N	pt_140T	UCSC_RefGene_Group
CECR7	cg00171192	0.572216403	0.577193939	0.567919903	0.61247288	0.608325334	0.570738543	0.521810653	0.460844254	0.543085415	0.62466956	0.521636661	0.513544297	0.511891109	0.486739763	0.539967624	0.55560596	0.567054839	0.539001091	0.50734938	0.562112582	0.531341973	0.605141193	0.552961397	0.529434603	Body
CECR7	cg03511692	0.590002078	0.589807491	0.510338807	0.715183028	0.636405846	0.744229442	0.520984437	0.5526603	0.553555277	0.71699679	0.546675953	0.554551084	0.560825739	0.644278897	0.52018037	0.577708169	0.55535624	0.588055073	0.524295571	0.658672563	0.61636591	0.557902888	0.654024208	0.59263863	TSS200
CECR7	cg10277548	0.552728571	0.552719387	0.537480037	0.674927055	0.605141193	0.656676335	0.532513043	0.570570144	0.529866048	0.657667666	0.51142358	0.474663715	0.539194924	0.59314535	0.541914042	0.575043029	0.596586174	0.577245453	0.520288125	0.602741108	0.611693984	0.682268759	0.607437501	0.646193544	TSS1500
CECR7	cg10664780	0.614042402	0.601544513	0.587408889	0.698598707	0.623999584	0.674893927	0.563504745	0.537890903	0.60942082	0.682703966	0.541770166	0.529010247	0.553543734	0.597193973	0.562365676	0.540707654	0.570034398	0.54332774	0.54191045	0.613983706	0.605459783	0.522075442	0.598264874	0.519199971	Body
CECR7	cg11577174	0.65635095	0.618642155	0.667596552	0.511629476	0.684336852	0.646797928	0.596403323	0.528881347	0.654524575	0.549541233	0.606920245	0.548926896	0.58956272	0.54870649	0.672423501	0.617227375	0.647695241	0.61901253	0.592481663	0.509654793	0.675333709	0.520822367	0.658689093	0.513098941	TSS200
CECR7	cg15861357	0.687323865	0.52818562	0.661096088	0.504448513	0.666044879	0.660969286	0.629436727	0.501697689	0.667544825	0.369975323	0.597522957	0.464367286	0.589676543	0.466192099	0.68337375	0.526200291	0.599025313	0.562569758	0.618841618	0.471025	0.689996803	0.521368262	0.671720673	0.428282659	Body
CECR7	cg16747643	0.624815319	0.594902492	0.594786464	0.571772045	0.635423568	0.600881914	0.556344391	0.480198869	0.590565786	0.498398482	0.547369537	0.485556943	0.574089097	0.504301	0.623222543	0.5384396	0.588277931	0.54368782	0.565027024	0.57635079	0.646144132	0.404740731	0.628870731	0.468570903	Body
CECR7	cg25563983	0.368718107	0.397381831	0.306686894	0.670756006	0.564131086	0.566155662	0.466972578	0.330481385	0.361054719	0.711269128	0.302686443	0.415785905	0.470551906	0.564174681	0.312736066	0.306817339	0.395514228	0.474345465	0.33207107	0.758412702	0.394334927	0.507465904	0.360904199	0.472021996	TSS200
CECR1	cg01972843	0.629623439	0.799048062	0.635842192	0.858419588	0.657160243	0.872865132	0.761833754	0.849180757	0.600079684	0.809537471	0.796295172	0.863975362	0.704830041	0.822564799	0.54335113	0.882504366	0.705302378	0.811042467	0.841164424	0.848147419	0.58288568	0.876885642	0.577359855	0.748588541	TSS200
CECR1	cg02089795	0.868695831	0.78855145	0.798695961	0.462670934	0.804805223	0.779387291	0.844042948	0.795580802	0.887664235	0.649443437	0.894622594	0.688335161	0.778011548	0.819766426	0.88495779	0.819991972	0.818455066	0.820445674	0.846389464	0.578155098	0.873459495	0.562365676	0.883823047	0.636895236	TSS1500
CECR1	cg03617345	0.843951963	0.734661311	0.879031818	0.713434167	0.841567078	0.836665723	0.862437535	0.737895557	0.865209215	0.851570368	0.889047948	0.744864623	0.858613585	0.837719729	0.874550612	0.841169496	0.877228245	0.869198458	0.857877449	0.739485977	0.811682213	0.748758452	0.802392163	0.870103309	5'UTR
CECR1	cg06726231	0.433296922	0.620283106	0.460689485	0.321647448	0.442961228	0.630687778	0.663648851	0.562133549	0.601995586	0.452528468	0.66984789	0.470254924	0.63235079	0.560633968	0.447496544	0.607231356	0.515571234	0.599563201	0.642265247	0.312886068	0.62895734	0.282720882	0.693674335	0.344575486	Body
CECR1	cg09928888	0.822663221	0.690877574	0.780944742	0.521667579	0.813122781	0.753957168	0.767076706	0.652133203	0.795799621	0.651883219	0.842078779	0.658482261	0.792911724	0.704189177	0.784090998	0.834932427	0.847735071	0.7253344	0.845726328	0.687297101	0.798974753	0.719476029	0.833909023	0.674083815	5'UTR
CECR1	cg10714773	0.65023228	0.821904981	0.693806534	0.438615237	0.676016717	0.773381291	0.866933226	0.857397499	0.738863546	0.751200642	0.865109314	0.611171028	0.8165284	0.713254233	0.703536845	0.789814444	0.76612763	0.783945498	0.871669249	0.729447676	0.686193553	0.592477865	0.661022421	0.855128142	Body
CECR1	cg12698607	0.891590628	0.754850495	0.88003241	0.86516867	0.912562822	0.882414624	0.867061904	0.747028533	0.892448079	0.744171979	0.88294623	0.88988421	0.863085408	0.868165292	0.880633563	0.889317931	0.887261972	0.884117355	0.888580878	0.856387132	0.893363167	0.776329712	0.892065426	0.87872422	3'UTR
CECR1	cg13248581	0.539656477	0.690787597	0.565312096	0.84053546	0.635942941	0.861223126	0.779523743	0.819757469	0.56421217	0.835069285	0.71799031	0.771208018	0.702199699	0.808489159	0.53430425	0.864457607	0.639080527	0.819365448	0.822474745	0.722995573	0.506048496	0.874452263	0.472285659	0.714832415	TSS200
CECR1	cg17333767	0.514804055	0.811346947	0.515780842	0.850071426	0.594783482	0.837818537	0.713598214	0.824608452	0.537608094	0.86737605	0.703487933	0.845563543	0.669591737	0.8519325	0.515690435	0.873169951	0.635074393	0.818981553	0.748067982	0.826532113	0.453114737	0.87226061	0.475783055	0.736091861	TSS200
CECR1	cg18003795	0.864985754	0.900731219	0.875918399	0.787212423	0.899183446	0.895718823	0.884023634	0.894303752	0.901633269	0.902241768	0.914811492	0.882856542	0.881319755	0.859514737	0.892016792	0.910163497	0.901827145	0.879621627	0.887592522	0.891194236	0.876922458	0.88267324	0.87992709	0.882599834	1stExon
CECR1	cg19192878	0.777150501	0.798084719	0.719652125	0.566021556	0.721197488	0.736472851	0.78870343	0.76285773	0.824515474	0.664423983	0.872422069	0.671189104	0.740385845	0.803450043	0.75836581	0.831483642	0.779675247	0.776514795	0.825613899	0.563522595	0.857727837	0.515743339	0.845500019	0.631967608	TSS1500
CECR1	cg21144941	0.50796045	0.747488584	0.539149695	0.814129224	0.603781854	0.846133085	0.750321524	0.785011891	0.490722808	0.865309908	0.619820454	0.829909179	0.62854292	0.792703686	0.470663155	0.862301387	0.605606676	0.772942396	0.739560753	0.803400794	0.467306576	0.865685328	0.482262937	0.692772785	TSS200
CECR1	cg21830459	0.485587648	0.757418948	0.526751856	0.808757998	0.589112709	0.837967756	0.651409043	0.772453272	0.463875085	0.859245874	0.657535609	0.81826691	0.62210868	0.799791806	0.444573812	0.872657691	0.578133679	0.784967014	0.709290097	0.796177521	0.435343103	0.875181859	0.439027365	0.68149981	TSS200
CECR1	cg22910462	0.436925364	0.63196181	0.439915333	0.702684832	0.524836227	0.730173306	0.62012862	0.676319167	0.433809034	0.719965769	0.58772318	0.782840069	0.56903154	0.714827599	0.438818438	0.768669383	0.525953189	0.687189223	0.63828265	0.738223357	0.442689127	0.722308049	0.416711848	0.657698307	TSS200
