gene_id	gene_short_name	tss_id	locus	length	tracking_id	X113N_0	X113T_0	X116N_0	X116T_0	X119N_0	X119T_0	X122N_0	X122T_0	X125N_0	X125T_0	X129N_0	X129T_0	X133N_0	X133T_0	X134N_0	X134T_0	X135N_0	X135T_0	X137N_0	X137T_0	X138N_0	X138T_0	X140N_0	X140T_0
XLOC_015394	CECR7	TSS18644	22:17517459-17539682	-	XLOC_015394	0.348297	0.25264	0.915189	0.0222662	0.534138	0.0944358	0.0475972	0.152387	0.674195	0.0386676	0.425024	0.179369	0.145589	0.079493	0.464065	0.196645	0.238352	0.684809	0.38854	0.0848971	0.450751	0.536172	0.523794	0.168205
XLOC_015677	CECR1	TSS19005,TSS19006,TSS19007	22:17659679-17702744	-	XLOC_015677	4.3039	10.3324	2.44375	1.39918	3.16767	15.2224	8.72105	9.05105	8.5932	5.26994	24.4872	12.1645	7.76916	8.14612	3.80408	31.8282	6.359	15.8581	17.413	2.59116	4.70277	2.78746	6.24989	7.3138
XLOC_015398	CECR2	TSS18648,TSS18649	22:17840838-18037856	-	XLOC_015398	0.0809504	0.148947	0.244186	0.055853	0.106648	0.0339051	0.202261	0.0382597	0.432437	0.104353	0.470839	0.148654	0.254079	0.0654349	0.222642	0.403406	0.394699	1.32409	0.11349	0.217427	0.0825555	0.494282	0.0359016	0.0546209
XLOC_015404	TUBA8	TSS18657	22:18593452-18614498	-	XLOC_015404	0.479642	0.96316	2.19598	0.415123	0.529864	0.218207	0.610592	0.419163	6.38551	0.150107	1.56539	0.46838	2.59671	0.226891	0.617705	0.30547	0.356404	1.061	0.282608	0.173809	2.00911	0.266503	1.13806	0.443978
XLOC_015407	DGCR5	TSS18660	22:18958010-19018755	-	XLOC_015407	0.355688	0.0597301	0.24756	0.377045	0.468674	0.133638	0.182956	0.12658	0.277252	0.114437	0.350631	0.303656	0.323705	0.96836	0.433601	0.135291	0.13425	0.166816	0.185257	0.355585	0.179632	1.0875	0.570932	0.144534
XLOC_015688	DGCR14	TSS19023	22:19117791-19132190	-	XLOC_015688	2.93389	3.09987	2.95536	3.53545	2.35089	1.98811	3.67316	4.16277	1.99504	3.00978	2.02756	2.82891	2.22351	3.9622	2.96917	3.02295	2.49217	2.69058	1.91037	3.33009	1.41445	3.67016	1.42792	4.8695
XLOC_015693	C22orf39	TSS19029	22:19428409-19435755	-	XLOC_015693	9.17185	7.64979	7.51928	9.66804	8.57314	7.98635	8.57019	12.846	15.0367	9.46039	16.5606	5.61944	10.5522	9.99912	10.5941	8.63377	10.3	9.92445	7.01189	6.5324	16.7416	7.32402	17.2265	7.93165
XLOC_015699	ARVCF	TSS19035	22:19863040-20004309	-	XLOC_015699	0.957701	1.32179	1.69273	1.9789	1.42052	1.31874	1.17293	2.61439	1.8496	0.747718	1.34777	0.845957	0.793834	1.16589	1.22773	1.19779	0.661973	0.782793	1.05371	1.26498	2.19991	1.10516	2.85565	1.49369
XLOC_015430	CRKL	TSS18696	22:21271713-21308037	-	XLOC_015430	21.3809	18.2662	23.3582	56.326	24.4221	27.2615	20.9323	47.271	14.6492	36.9659	16.0592	38.1923	21.3303	29.0106	21.0482	27.582	16.8474	23.3837	22.4999	36.7452	9.74343	32.2844	9.48582	49.795
XLOC_015435	P2RX6	TSS18702	22:21369441-21382302	-	XLOC_015435	0.140637	0.423821	0.508638	0.473958	0.0708628	0.0805301	0.0149945	0.284504	0.906355	0.0459913	0.669226	0.225392	0.303604	0.0509236	0.111973	0.0803453	0.145254	0.304714	0.0583263	0.0452984	0.182729	0.208908	0.0370563	0.30894
XLOC_015455	GNAZ	TSS18726	22:23401592-23484241	-	XLOC_015455	0.510369	0.425488	0.388496	0.135295	0.488303	0.0917577	0.435941	0.0938623	0.850983	0.0891874	1.14605	0.231952	0.359373	0.232569	0.659643	0.17095	0.550416	0.239937	0.405364	0.108043	0.728468	0.146821	0.7198	0.0957656
XLOC_015474	SNRPD3	TSS18751	22:24936390-24970932	-	XLOC_015474	32.1751	22.2947	22.7227	31.543	28.0091	15.0294	29.9416	40.349	19.7127	34.8366	12.7977	23.9719	22.3681	27.971	26.5821	21.6794	26.5752	28.3325	20.3529	29.9691	19.5959	29.1185	22.4644	25.1722
XLOC_015475	GGT1	TSS18752,TSS18753	22:24979717-25024972	-	XLOC_015475	0.916172	1.15046	0.379307	0.471058	1.29265	1.4858	4.83372	1.72821	1.1141	1.2012	1.40316	2.11049	0.667315	4.03643	1.36657	2.35703	6.63629	3.0247	2.48008	0.670849	6.13922	3.40563	5.7431	3.95726
XLOC_015479	KIAA1671	TSS18757	22:25423940-25593415	-	XLOC_015479	14.274	7.26732	16.6935	13.3279	25.1712	5.7585	10.0757	5.92982	8.80025	9.3905	5.06021	10.362	13.4941	7.53783	13.1277	6.57283	16.2658	9.0384	10.7132	10.0394	7.22146	9.70448	6.63275	8.55176
XLOC_015485	ADRBK2	TSS18763	22:25960860-26125258	-	XLOC_015485	3.03836	2.15988	1.20764	2.60047	2.59537	4.26258	2.63432	2.62568	2.30955	1.47106	13.2227	3.72372	1.73175	1.81092	2.32994	3.51357	1.02521	3.13123	4.73447	2.18509	1.85738	2.10632	1.72126	2.66371
XLOC_015755	TPST2	TSS19098,TSS19099	22:26921713-26986089	-	XLOC_015755	22.5413	29.1826	15.3748	26.9526	13.1456	11.481	20.3451	32.4285	12.5951	22.9115	33.337	21.0691	14.6311	17.3836	13.1113	27.8046	15.5531	14.7823	16.9277	29.6929	18.3191	24.4785	12.6742	19.3303
XLOC_015763	XBP1	TSS19107	22:29190547-29196560	-	XLOC_015763	89.0173	281.949	131.144	90.8596	49.1322	67.3205	91.0177	208.844	871.498	154.595	418.714	145.94	84.7551	151.289	64.2384	735.663	122.472	141.808	139.904	70.987	1239.22	74.9822	2732.81	84.1547
XLOC_015505	NF2	TSS18786	22:29999544-30094589	-	XLOC_015505	14.0169	9.95406	15.0949	14.9275	18.2504	14.4825	13.0602	12.4659	11.6494	11.6724	9.84057	13.4923	16.9785	13.9516	16.9454	12.1062	18.5119	13.5895	16.4435	12.9325	8.35931	16.6914	9.27067	12.7084
XLOC_015788	PES1	TSS19133,TSS19134	22:30972611-31003000	-	XLOC_015788	25.4263	29.9223	43.6377	47.5581	25.9866	28.3665	33.1199	45.0055	16.9491	42.2713	12.7162	39.4466	30.3125	36.8618	22.6847	22.2658	21.7607	26.1371	20.2923	48.4937	12.9717	41.9235	17.5404	36.7718
XLOC_015790	MORC2	TSS19136	22:31318294-31364187	-	XLOC_015790	5.35367	3.20266	5.93034	9.75604	5.9569	6.15995	5.40558	6.87322	3.71257	5.57339	2.94037	7.50622	5.11015	5.18673	5.48948	5.53073	3.94813	4.402	4.84992	6.4138	2.9235	5.57976	2.40265	8.49967
XLOC_015792	PLA2G3	TSS19138	22:31530792-31536593	-	XLOC_015792	4.90018	4.08431	41.108	0.303116	11.282	1.98365	18.3213	8.50698	1.83071	5.00759	0.118298	3.51445	4.09814	5.52612	7.19813	3.06517	14.1373	12.1338	8.03433	0.715458	0.967207	2.91406	0.256189	0.525785
