ENSG00000000003 TSPAN6
ENSG00000000419 DPM1
ENSG00000000457 SCYL3
ENSG00000000460 C1orf112
ENSG00000000938 FGR
ENSG00000000971 CFH
ENSG00000001036 FUCA2
ENSG00000001084 GCLC
ENSG00000001167 NFYA
ENSG00000001460 STPG1
ENSG00000001461 NIPAL3
ENSG00000001497 LAS1L
ENSG00000001561 ENPP4
ENSG00000001629 ANKIB1
ENSG00000001630 CYP51A1
ENSG00000001631 KRIT1
ENSG00000002016 RAD52
ENSG00000002079 MYH16
ENSG00000002330 BAD
ENSG00000002549 LAP3
ENSG00000002586 CD99
ENSG00000002587 HS3ST1
ENSG00000002726 AOC1
ENSG00000002745 WNT16
ENSG00000002746 HECW1
ENSG00000002822 MAD1L1
ENSG00000002834 LASP1
ENSG00000002919 SNX11
ENSG00000002933 TMEM176A
ENSG00000003056 M6PR
ENSG00000003096 KLHL13
ENSG00000003137 CYP26B1
ENSG00000003147 ICA1
ENSG00000003249 DBNDD1
ENSG00000003393 ALS2
ENSG00000003400 CASP10
ENSG00000003402 CFLAR
ENSG00000003436 TFPI
ENSG00000003509 NDUFAF7
ENSG00000003756 RBM5
ENSG00000003987 MTMR7
ENSG00000003989 SLC7A2
ENSG00000004059 ARF5
ENSG00000004139 SARM1
ENSG00000004142 POLDIP2
ENSG00000004399 PLXND1
ENSG00000004455 AK2
ENSG00000004468 CD38
ENSG00000004478 FKBP4
ENSG00000004487 KDM1A
ENSG00000004534 RBM6
ENSG00000004660 CAMKK1
ENSG00000004700 RECQL
ENSG00000004766 CCDC132
ENSG00000004776 HSPB6
ENSG00000004777 ARHGAP33
ENSG00000004779 NDUFAB1
ENSG00000004799 PDK4
ENSG00000004809 SLC22A16
ENSG00000004838 ZMYND10
ENSG00000004846 ABCB5
ENSG00000004848 ARX
ENSG00000004864 SLC25A13
ENSG00000004866 ST7
ENSG00000004897 CDC27
ENSG00000004939 SLC4A1
ENSG00000004948 CALCR
ENSG00000004961 HCCS
ENSG00000004975 DVL2
ENSG00000005007 UPF1
ENSG00000005020 SKAP2
ENSG00000005022 SLC25A5
ENSG00000005059 CCDC109B
ENSG00000005073 HOXA11
ENSG00000005075 POLR2J
ENSG00000005100 DHX33
ENSG00000005102 MEOX1
ENSG00000005108 THSD7A
ENSG00000005156 LIG3
ENSG00000005175 RPAP3
ENSG00000005187 ACSM3
ENSG00000005189 AC004381.6
ENSG00000005194 CIAPIN1
ENSG00000005206 SPPL2B
ENSG00000005238 FAM214B
ENSG00000005243 COPZ2
ENSG00000005249 PRKAR2B
ENSG00000005302 MSL3
ENSG00000005339 CREBBP
ENSG00000005379 BZRAP1
ENSG00000005381 MPO
ENSG00000005436 GCFC2
ENSG00000005448 WDR54
ENSG00000005469 CROT
ENSG00000005471 ABCB4
ENSG00000005483 KMT2E
ENSG00000005486 RHBDD2
ENSG00000005700 IBTK
ENSG00000005801 ZNF195
ENSG00000005810 MYCBP2
ENSG00000005812 FBXL3
ENSG00000005844 ITGAL
ENSG00000005882 PDK2
ENSG00000005884 ITGA3
ENSG00000005889 ZFX
ENSG00000005893 LAMP2
ENSG00000005961 ITGA2B
ENSG00000006007 GDE1
ENSG00000006015 C19orf60
ENSG00000006016 CRLF1
ENSG00000006025 OSBPL7
ENSG00000006042 TMEM98
ENSG00000006047 YBX2
ENSG00000006062 MAP3K14
ENSG00000006071 ABCC8
ENSG00000006125 AP2B1
ENSG00000006194 ZNF263
ENSG00000006210 CX3CL1
ENSG00000006282 SPATA20
ENSG00000006327 TNFRSF12A
ENSG00000006377 DLX6
ENSG00000006432 MAP3K9
ENSG00000006451 RALA
ENSG00000006453 BAIAP2L1
ENSG00000006459 KDM7A
ENSG00000006468 ETV1
ENSG00000006530 AGK
ENSG00000006534 ALDH3B1
ENSG00000006555 TTC22
ENSG00000006576 PHTF2
ENSG00000006607 FARP2
ENSG00000006625 GGCT
ENSG00000006634 DBF4
ENSG00000006638 TBXA2R
ENSG00000006652 IFRD1
ENSG00000006695 COX10
ENSG00000006704 GTF2IRD1
ENSG00000006712 PAF1
ENSG00000006715 VPS41
ENSG00000006740 ARHGAP44
ENSG00000006744 ELAC2
ENSG00000006747 SCIN
ENSG00000006756 ARSD
ENSG00000006757 PNPLA4
ENSG00000006831 ADIPOR2
ENSG00000006837 CDKL3
ENSG00000007001 UPP2
ENSG00000007038 PRSS21
ENSG00000007047 MARK4
ENSG00000007062 PROM1
ENSG00000007080 CCDC124
ENSG00000007129 CEACAM21
ENSG00000007168 PAFAH1B1
ENSG00000007202 KIAA0100
ENSG00000007237 GAS7
ENSG00000007255 TRAPPC6A
ENSG00000007264 MATK
ENSG00000007312 CD79B
ENSG00000007314 SCN4A
ENSG00000007341 ST7L
ENSG00000007372 PAX6
ENSG00000007376 RPUSD1
ENSG00000007384 RHBDF1
ENSG00000007392 LUC7L
ENSG00000007402 CACNA2D2
ENSG00000007516 BAIAP3
ENSG00000007520 TSR3
ENSG00000007541 PIGQ
ENSG00000007545 CRAMP1L
ENSG00000007866 TEAD3
ENSG00000007923 DNAJC11
ENSG00000007933 FMO3
ENSG00000007944 MYLIP
ENSG00000007952 NOX1
ENSG00000007968 E2F2
ENSG00000008018 PSMB1
ENSG00000008083 JARID2
ENSG00000008086 CDKL5
ENSG00000008128 CDK11A
ENSG00000008130 NADK
ENSG00000008226 DLEC1
ENSG00000008256 CYTH3
ENSG00000008277 ADAM22
ENSG00000008282 SYPL1
ENSG00000008283 CYB561
ENSG00000008294 SPAG9
ENSG00000008300 CELSR3
ENSG00000008311 AASS
ENSG00000008324 SS18L2
